date,board,type,name,status
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,John M Connolly,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Bruce M. Desmond,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Dennis M. Sullivan,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,William A. White Jr.,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,William M. Roche,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Maryann M. Heuston,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Thomas F. Taylor,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Walter F. Pero,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Sean T. O'Donovan,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Rebekah L. Gewirtz,Present
2011-01-03 18:00:00,Board of Aldermen,Organizational Meeting,Robert C. Trane,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Maryann M. Heuston,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,William A. White Jr.,Absent
2011-01-11 18:00:00,Finance Committee,Committee Meeting,John M Connolly,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Rebekah L. Gewirtz,Absent
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Thomas F. Taylor,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Omar Boukili,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Jessie Baker,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Sarah Kloos,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Gregory Jenkins,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Keith Craig,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Stephanie Hirsch,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Matthew Dias,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Damon Luloff,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Michael Cabral,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Thomas Pasquarello,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Doug Willardson,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,John Crooks,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Frank Wright,Present
2011-01-11 18:00:00,Finance Committee,Committee Meeting,Kevin Kelleher,Present
2011-01-13 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2011-01-13 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Present
2011-01-13 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
